Gene ID,Genomic Location (Gene),Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL
PF3D7_0524000,"Pf3D7_05_v3:998,753..1,002,124(+)",karyopherin beta,null,null,GO:0005488,binding,null,null,GO:0005737;GO:0020020;GO:0005643;GO:0044613;GO:0005634,cytoplasm;food vacuole;nuclear pore;nuclear pore central transport channel;nucleus,GO:0019904;GO:0046982,protein domain specific binding;protein heterodimerization activity,GO:0006607;GO:0006913,NLS-bearing protein import into nucleus;nucleocytoplasmic transport,null,null
PF3D7_0524100,"Pf3D7_05_v3:1,004,237..1,008,108(+)","conserved Plasmodium protein, unknown function",GO:0005634,nucleus,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0524200,"Pf3D7_05_v3:1,008,636..1,009,404(-)","conserved Plasmodium membrane protein, unknown function",GO:0016021;GO:0016020,integral component of membrane;membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0524300,"Pf3D7_05_v3:1,010,951..1,012,171(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0524400,"Pf3D7_05_v3:1,013,453..1,014,550(-)","ribosome-interacting GTPase 1, putative",null,null,GO:0005525,GTP binding,null,null,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_0524500,"Pf3D7_05_v3:1,016,198..1,016,569(+)","conserved Plasmodium protein, unknown function",null,null,GO:0000166,nucleotide binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0524600,"Pf3D7_05_v3:1,017,809..1,018,582(+)","50S ribosomal protein L12, apicoplast, putative",GO:0005622;GO:0005840,intracellular;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,GO:0020011;GO:0015934,apicoplast;large ribosomal subunit,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_0524700,"Pf3D7_05_v3:1,019,585..1,019,902(-)","mitochondrial import receptor subunit TOM22, putative",GO:0005741,mitochondrial outer membrane,null,null,GO:0006886,intracellular protein transport,GO:0005742;GO:0005739,mitochondrial outer membrane translocase complex;mitochondrion,null,null,GO:0006626,protein targeting to mitochondrion,null,null
PF3D7_0524800,"Pf3D7_05_v3:1,021,408..1,024,307(-)","ubiquitin fusion degradation protein 1, putative",null,null,null,null,GO:0006511,ubiquitin-dependent protein catabolic process,null,null,null,null,null,null,null,null
PF3D7_0524900,"Pf3D7_05_v3:1,027,396..1,030,362(+)","S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative",null,null,GO:0010181;GO:0003824;GO:0051536,FMN binding;catalytic activity;iron-sulfur cluster binding,null,null,null,null,null,null,GO:0031591,wybutosine biosynthetic process,4.1.3.44 (tRNA 4-demethylwyosine synthase (AdoMet-dependent)),null
PF3D7_0525000,"Pf3D7_05_v3:1,036,229..1,038,343(+)","zinc finger protein, putative",null,null,GO:0046872,metal ion binding,null,null,GO:0005829,cytosol,null,null,null,null,null,null
PF3D7_0525100,"Pf3D7_05_v3:1,041,745..1,043,766(+)",acyl-CoA synthetase,null,null,GO:0003824,catalytic activity,GO:0008152,metabolic process,null,null,GO:0004467,long-chain fatty acid-CoA ligase activity,GO:0006631;GO:0042493,fatty acid metabolic process;response to drug,6.2.1.3 (Long-chain-fatty-acid--CoA ligase),6.2.1.3 (Long-chain-fatty-acid--CoA ligase)
PF3D7_0525200,"Pf3D7_05_v3:1,045,462..1,051,253(+)","structural maintenance of chromosomes protein 6, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0525300,"Pf3D7_05_v3:1,052,468..1,053,913(-)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0525400,"Pf3D7_05_v3:1,057,651..1,059,054(+)",7-helix-1 protein,null,null,null,null,null,null,GO:0010494;GO:0005829,cytoplasmic stress granule;cytosol,GO:0005515;GO:0043021,protein binding;ribonucleoprotein complex binding,GO:0017148,negative regulation of translation,null,null
PF3D7_0525500,"Pf3D7_05_v3:1,059,918..1,065,509(-)","WD repeat-containing protein, putative",null,null,GO:0005515,protein binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0525600,"Pf3D7_05_v3:1,066,526..1,067,712(-)","RNA methyltransferase, putative",null,null,GO:0003723;GO:0008173,RNA binding;RNA methyltransferase activity,GO:0006396,RNA processing,null,null,GO:0003723;GO:0008173,RNA binding;RNA methyltransferase activity,GO:0006396,RNA processing,2.1.1.56 (mRNA (guanine-N(7)-)-methyltransferase),2.1.1.56 (mRNA (guanine-N(7)-)-methyltransferase)
PF3D7_0525700,"Pf3D7_05_v3:1,068,516..1,069,285(+)","conserved protein, unknown function",null,null,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0525800,"Pf3D7_05_v3:1,071,247..1,072,149(+)","inner membrane complex protein 1g, putative",null,null,null,null,null,null,GO:0070258,inner membrane pellicle complex,null,null,null,null,null,null
PF3D7_0525900,"Pf3D7_05_v3:1,073,646..1,075,644(+)",NIMA related kinase 2,null,null,GO:0005524;GO:0004672,ATP binding;protein kinase activity,GO:0006468,protein phosphorylation,null,null,GO:0004674;GO:0004713,protein serine/threonine kinase activity;protein tyrosine kinase activity,GO:0006468,protein phosphorylation,2.7.11.1 (Non-specific serine/threonine protein kinase),2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_0526000,"Pf3D7_05_v3:1,075,913..1,078,333(-)","RAP protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0526100,"Pf3D7_05_v3:1,079,779..1,081,008(+)","conserved Plasmodium membrane protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0526200,"Pf3D7_05_v3:1,081,558..1,083,816(-)","ADP-ribosylation factor GTPase-activating protein, putative",null,null,GO:0005096,GTPase activator activity,null,null,null,null,null,null,GO:0043087,regulation of GTPase activity,null,null
PF3D7_0526200,"Pf3D7_05_v3:1,081,558..1,083,816(-)","ADP-ribosylation factor GTPase-activating protein, putative",null,null,GO:0005096,GTPase activator activity,null,null,null,null,null,null,null,null,null,null
PF3D7_0526300,"Pf3D7_05_v3:1,085,623..1,086,594(-)","WD repeat-containing protein 55, putative",null,null,GO:0005515,protein binding,null,null,GO:0005730,nucleolus,null,null,GO:0006364,rRNA processing,null,null
PF3D7_0526400,"Pf3D7_05_v3:1,088,423..1,089,508(+)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,GO:0000166,nucleotide binding,GO:0006810,transport,null,null,null,null,null,null,null,null
PF3D7_0526500,"Pf3D7_05_v3:1,090,930..1,095,084(+)","conserved Plasmodium protein, unknown function",GO:0005622;GO:0005634;GO:0005681,intracellular;nucleus;spliceosomal complex,GO:0005515,protein binding,GO:0006396;GO:0008380;GO:0007049;GO:0006397,RNA processing;RNA splicing;cell cycle;mRNA processing,null,null,null,null,null,null,null,null
PF3D7_0526600,"Pf3D7_05_v3:1,101,203..1,114,777(+)","conserved Plasmodium protein, unknown function",null,null,null,null,GO:0009245;GO:0008610,lipid A biosynthetic process;lipid biosynthetic process,null,null,null,null,null,null,null,null
PF3D7_0526700,"Pf3D7_05_v3:1,117,261..1,119,651(-)","conserved protein, unknown function",GO:0005737;GO:0005634,cytoplasm;nucleus,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0526800,"Pf3D7_05_v3:1,120,704..1,121,810(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_0526900,"Pf3D7_05_v3:1,123,610..1,124,595(+)","transmembrane emp24 domain-containing protein, putative",GO:0005794;GO:0000139;GO:0005783;GO:0005789;GO:0016021,Golgi apparatus;Golgi membrane;endoplasmic reticulum;endoplasmic reticulum membrane;integral component of membrane,null,null,GO:0015031;GO:0016192,protein transport;vesicle-mediated transport,GO:0016020,membrane,null,null,null,null,null,null
PF3D7_0527000,"Pf3D7_05_v3:1,125,099..1,128,146(-)","DNA replication licensing factor MCM3, putative",GO:0042555,MCM complex,GO:0005524;GO:0003677,ATP binding;DNA binding,GO:0006270,DNA replication initiation,GO:0005634,nucleus,GO:0016887,ATPase activity,null,null,1.3.3.6 (Acyl-CoA oxidase),3.6.4.12 (DNA helicase)
PF3D7_0527100,"Pf3D7_05_v3:1,129,959..1,130,754(-)","ubiquitin-conjugating enzyme E2 N, putative",null,null,null,null,null,null,null,null,GO:0004842,ubiquitin-protein transferase activity,GO:0016567,protein ubiquitination,6.3.2.19 (Ubiquitin--protein ligase),6.3.2.19 (Ubiquitin--protein ligase)
PF3D7_0527200,"Pf3D7_05_v3:1,132,937..1,134,854(-)",ubiquitin carboxyl-terminal hydrolase 14,null,null,GO:0005515;GO:0036459,protein binding;thiol-dependent ubiquitinyl hydrolase activity,GO:0016579;GO:0006511,protein deubiquitination;ubiquitin-dependent protein catabolic process,null,null,GO:0070628;GO:0004843,proteasome binding;thiol-dependent ubiquitin-specific protease activity,GO:0016579,protein deubiquitination,3.4.19.12 (Ubiquitinyl hydrolase 1),3.4.19.12 (Ubiquitinyl hydrolase 1)
PF3D7_0527300,"Pf3D7_05_v3:1,135,976..1,137,870(-)","methionine aminopeptidase 1a, putative",null,null,GO:0004177;GO:0008235,aminopeptidase activity;metalloexopeptidase activity,GO:0006508,proteolysis,null,null,GO:0003729;GO:0070006;GO:0008235,mRNA binding;metalloaminopeptidase activity;metalloexopeptidase activity,GO:0006508,proteolysis,3.4.11.18 (Methionyl aminopeptidase),3.4.11.18 (Methionyl aminopeptidase)
PF3D7_0527400,"Pf3D7_05_v3:1,140,627..1,141,154(+)","conserved Plasmodium protein, unknown function",GO:0016021;GO:0016020,integral component of membrane;membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0527500,"Pf3D7_05_v3:1,143,618..1,145,359(+)",Hsc70-interacting protein,null,null,GO:0005515,protein binding,null,null,GO:0005634,nucleus,null,null,GO:0051085,chaperone cofactor-dependent protein refolding,null,null
PF3D7_0527600,"Pf3D7_05_v3:1,145,857..1,148,810(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0527700,"Pf3D7_05_v3:1,150,234..1,150,306(+)",tRNA Glutamic acid,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0527800,"Pf3D7_05_v3:1,151,227..1,151,309(-)",tRNA Leucine,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0527900,"Pf3D7_05_v3:1,153,676..1,155,673(+)","ATP-dependent RNA helicase DDX41, putative",null,null,GO:0005524;GO:0003676,ATP binding;nucleic acid binding,null,null,null,null,null,null,null,null,3.6.4.13 (RNA helicase),3.6.4.13 (RNA helicase)
PF3D7_0528000,"Pf3D7_05_v3:1,156,205..1,156,579(-)","proteasome maturation factor UMP1, putative",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,GO:0043248,proteasome assembly,null,null
PF3D7_0528100,"Pf3D7_05_v3:1,157,840..1,161,553(-)","AP-1 complex subunit beta, putative",GO:0030131;GO:0030117,clathrin adaptor complex;membrane coat,GO:0005488;GO:0030276,binding;clathrin binding,GO:0006886;GO:0015031;GO:0016192,intracellular protein transport;protein transport;vesicle-mediated transport,null,null,null,null,GO:0016192,vesicle-mediated transport,null,null
PF3D7_0528200,"Pf3D7_05_v3:1,163,408..1,165,072(-)","eukaryotic translation initiation factor 3 subunit E, putative",GO:0005737;GO:0005852,cytoplasm;eukaryotic translation initiation factor 3 complex,GO:0003743,translation initiation factor activity,null,null,null,null,GO:0003729,mRNA binding,null,null,null,null
PF3D7_0528300,"Pf3D7_05_v3:1,166,520..1,168,010(-)","conserved protein, unknown function",GO:0005737;GO:0005634,cytoplasm;nucleus,GO:0046872,metal ion binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0528400,"Pf3D7_05_v3:1,171,659..1,173,890(+)",palmitoyltransferase DHHC7,null,null,null,null,null,null,GO:0020008,rhoptry,GO:0016409;GO:0016746,"palmitoyltransferase activity;transferase activity, transferring acyl groups",GO:0030260;GO:0018345,entry into host cell;protein palmitoylation,2.3.1.- (Transferring groups other than amino-acyl groups.);2.3.1.225 (Protein S-acyltransferase),2.3.1.- (Transferring groups other than amino-acyl groups.)
PF3D7_0528500,"Pf3D7_05_v3:1,174,907..1,177,067(+)","F-actin-capping protein subunit alpha, putative",GO:0008290,F-actin capping protein complex,null,null,GO:0051016,barbed-end actin filament capping,null,null,GO:0051015,actin filament binding,GO:0051693,actin filament capping,null,null
PF3D7_0528600,"Pf3D7_05_v3:1,176,969..1,177,286(-)","conserved Plasmodium protein, unknown function",null,null,GO:0000166,nucleotide binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0528700,"Pf3D7_05_v3:1,178,276..1,178,890(-)",peptidyl-prolyl cis-trans isomerase,null,null,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,GO:0000413,protein peptidyl-prolyl isomerization,null,null,GO:0016018,cyclosporin A binding,GO:0006457,protein folding,5.2.1.8 (Peptidylprolyl isomerase),5.2.1.8 (Peptidylprolyl isomerase)
PF3D7_0528800,"Pf3D7_05_v3:1,180,425..1,182,038(-)","nucleolar preribosomal GTPase, putative",null,null,null,null,null,null,GO:0005622,intracellular,GO:0005525,GTP binding,null,null,3.6.5.2 (Small monomeric GTPase),3.6.5.2 (Small monomeric GTPase)
PF3D7_0528900,"Pf3D7_05_v3:1,183,916..1,185,639(-)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0529000,"Pf3D7_05_v3:1,186,787..1,188,946(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0529100,"Pf3D7_05_v3:1,191,000..1,191,682(-)","thioredoxin-like protein, putative",null,null,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0529200,"Pf3D7_05_v3:1,192,973..1,195,332(+)","sugar transporter, putative",null,null,null,null,null,null,GO:0016021,integral component of membrane,GO:0005351,carbohydrate:proton symporter activity,GO:0008643,carbohydrate transport,null,null
PF3D7_0529300,"Pf3D7_05_v3:1,196,315..1,197,389(+)",apicoplast TIC22 protein,null,null,null,null,GO:0015031,protein transport,GO:0020011;GO:0016021,apicoplast;integral component of membrane,null,null,GO:0006457,protein folding,null,null
PF3D7_0529400,"Pf3D7_05_v3:1,199,165..1,205,187(+)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0529400,"Pf3D7_05_v3:1,199,165..1,205,187(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0529500,"Pf3D7_05_v3:1,206,473..1,207,679(+)","cell cycle regulator protein, putative",null,null,GO:0003723,RNA binding,null,null,null,null,GO:0003723,RNA binding,GO:0051726,regulation of cell cycle,null,null
PF3D7_0529600,"Pf3D7_05_v3:1,208,390..1,208,462(+)",tRNA Arginine,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0529700,"Pf3D7_05_v3:1,209,006..1,212,102(-)","heptatricopeptide repeat-containing protein, putative",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0529800,"Pf3D7_05_v3:1,213,533..1,219,376(+)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0016459,cytoplasm;myosin complex,GO:0005524;GO:0003779;GO:0005516;GO:0003774,ATP binding;actin binding;calmodulin binding;motor activity,null,null,null,null,null,null,null,null,null,null
PF3D7_0529900,"Pf3D7_05_v3:1,220,777..1,221,992(-)","RING zinc finger protein, putative",null,null,GO:0008270,zinc ion binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0530000,"Pf3D7_05_v3:1,224,598..1,224,891(-)","conserved Plasmodium protein, unknown function",GO:0005634,nucleus,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0530100,"Pf3D7_05_v3:1,226,883..1,227,757(+)","SNARE protein, putative",null,null,null,null,null,null,GO:0031201,SNARE complex,GO:0005484,SNAP receptor activity,GO:0006886;GO:0031338;GO:0016192,intracellular protein transport;regulation of vesicle fusion;vesicle-mediated transport,null,null
PF3D7_0530200,"Pf3D7_05_v3:1,229,077..1,230,651(-)",phosphoenolpyruvate/phosphate translocator,null,null,null,null,null,null,GO:0020011;GO:0031353,apicoplast;integral component of plastid inner membrane,GO:0008524;GO:0009670,glucose 6-phosphate:phosphate antiporter activity;triose-phosphate:phosphate antiporter activity,GO:0046323,glucose import,null,null
PF3D7_0530300,"Pf3D7_05_v3:1,233,401..1,238,086(+)","conserved Plasmodium membrane protein, unknown function",null,null,null,null,null,null,GO:0016021,integral component of membrane,null,null,null,null,null,null
PF3D7_0530400,"Pf3D7_05_v3:1,238,633..1,243,987(-)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0530500,"Pf3D7_05_v3:1,244,751..1,248,359(+)","conserved Plasmodium membrane protein, unknown function",null,null,GO:0005524;GO:0004714,ATP binding;transmembrane receptor protein tyrosine kinase activity,GO:0006468;GO:0007169,protein phosphorylation;transmembrane receptor protein tyrosine kinase signaling pathway,GO:0016021,integral component of membrane,null,null,null,null,null,null
PF3D7_0530600,"Pf3D7_05_v3:1,248,368..1,249,961(-)","XAP-5 DNA binding protein, putative",GO:0005634,nucleus,null,null,null,null,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_0530700,"Pf3D7_05_v3:1,250,737..1,254,190(+)","conserved Plasmodium protein, unknown function",null,null,GO:0008168,methyltransferase activity,GO:0007049,cell cycle,null,null,null,null,null,null,null,null
PF3D7_0530750,"Pf3D7_05_v3:1,254,282..1,254,796(-)","dolichol-phosphate mannosyltransferase subunit 3, putative",null,null,null,null,GO:0006486,protein glycosylation,GO:0033185,dolichol-phosphate-mannose synthase complex,null,null,GO:0006506,GPI anchor biosynthetic process,2.4.1.83 (Dolichyl-phosphate beta-D-mannosyltransferase),2.4.1.83 (Dolichyl-phosphate beta-D-mannosyltransferase)
